id,human_readable_id,title,type,description,text_unit_ids,frequency,degree,x,y
50177f67-98c3-4e84-a4a3-b01b48011769,0,上汽通用,MANUFACTURER,上汽通用是别克品牌的制造商，涉及君威车型的质量投诉问题。,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f'],1,2,0.0,0.0
7f9587b9-b926-4026-a1a8-534ca5d268da,1,别克,BRAND,别克是上汽通用汽车有限公司旗下的知名汽车品牌，涵盖多个车型，包括君威、昂科威和昂科威Plus等。该品牌近年来涉及一些质量相关问题，例如君威车型的质量投诉，以及与召回事件相关的情况。这些问题反映了别克在产品安全和质量管理方面需要进一步加强的领域，同时也体现了其在市场中的广泛覆盖和影响力。,"['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f'
 '2ac8f87919b440426447f5c823b514506fdc08fd1c4f7fcd7e67f47ad228fb0ab1f65274d1d8151b243d80af21d1ef52cc1529f13cc4811b8ce9ae20bfa36858'
 'f5b3e9d71d0afc0e950649922d3336ac04a906846b2f08df5376a95581005f7a4dc162a8e0752b33cb2f1edbce8734c2b9df2359b766c73b6f4302eef724527b']",3,8,0.0,0.0
fa7cb9cb-2109-4c12-9afa-1d5eef9b44cc,2,君威,VEHICLE_MODEL,君威是别克品牌的一款车型，涉及变速箱异响的质量投诉问题。,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f'],1,3,0.0,0.0
823b7dee-041d-4f23-b717-382aac17e5c9,3,变速箱,COMPONENT,变速箱是君威车型的关键部件，涉及异响问题。,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f'],1,2,0.0,0.0
4ef26816-a604-4664-a5e9-92d229d9082c,4,变速器总成,COMPONENT,变速器总成是变速箱的主要组成部分，涉及异响问题。,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f'],1,1,0.0,0.0
3cc1b0ea-bd2f-4321-9dba-d5f21d902680,5,变速箱异响,DEFECT,君威车型的变速箱存在异响问题，消费者在三包期内可免费更换变速箱。,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f'],1,3,0.0,0.0
e7974bb3-698f-4b1f-9d2b-fb066b1f915f,6,三包期内免费更换变速箱,REPAIR_MEASURE,维修措施包括在三包期内免费更换变速箱以解决异响问题。,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f'],1,2,0.0,0.0
69f31073-d672-4f6d-876a-d53d0d978c6a,7,HTTP://CLUB.AUTOHOME.COM.CN/BBS/THREAD-123456-1.HTML,WEBSITE,消费者可通过汽车之家论坛链接查看相关质量投诉详情。,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f'],1,2,0.0,0.0
de8336ae-1c23-4ed6-88d6-a3bd2dec595f,8,汽车之家,WEBSITE,汽车之家是一个汽车论坛，消费者在此平台上发布了关于君威车型变速箱异响的质量投诉。,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f'],1,2,0.0,0.0
1daaa419-0ded-4264-ad90-b328dfa118c5,9,汽车论坛,WEBSITE,汽车论坛是消费者讨论汽车问题的在线平台，此次投诉来源于汽车之家论坛。,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f'],1,1,0.0,0.0
